YYYYMM,Value,Description,Unit
200809,161356.347,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200810,151840.715,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200811,154281.198,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200812,167785.73,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200901,171925.15,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200902,140915.785,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200903,135530.328,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200904,125934.973,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200905,131673.058,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200906,148086.771,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200907,158233.869,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200908,163260.483,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200909,137144.648,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200910,139955.577,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200911,136809.575,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200912,166434.036,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
201001,173320.161,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
201002,153044.159,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
201003,144405.633,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
201004,126951.885,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
201005,143272.494,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
201006,165491.489,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
201007,179600.499,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
201008,177745.32,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
201009,148745.672,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
201010,132269.835,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
201011,135185.045,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
201012,167258.086,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
