Date,Price,Open,High,Low,Volume,Change(%)
21-Jan-21,1339.7,1350,1361.05,1335,6142421,0.02%
20-Jan-21,1339.45,1320.55,1348.4,1320.55,8225838,1.73%
19-Jan-21,1316.65,1320,1331,1312,5585744,0.35%
18-Jan-21,1312.05,1338,1340,1306,8861765,-2.45%
15-Jan-21,1344.95,1360,1364.45,1340,15018441,-1.86%
14-Jan-21,1370.5,1360,1384,1318.45,27521697,-1.20%
13-Jan-21,1387.15,1373.85,1392.8,1360,14442997,1.12%
12-Jan-21,1371.75,1378,1378,1360,8309868,-0.32%
11-Jan-21,1376.2,1342.1,1383.35,1340,20528626,4.89%
8-Jan-21,1312.1,1278.25,1316.8,1278.25,13186251,3.96%
7-Jan-21,1262.15,1296,1297.65,1255.5,10954918,-1.56%
6-Jan-21,1282.1,1300,1302,1268.05,7161715,-0.90%
5-Jan-21,1293.8,1282,1299,1275.05,8145280,0.43%
4-Jan-21,1288.25,1269,1290,1261.15,7208454,2.21%
1-Jan-21,1260.45,1257.9,1265.5,1255.8,4253550,0.37%
31-Dec-20,1255.8,1243,1258.4,1239,7430470,0.72%
30-Dec-20,1246.8,1253,1253.3,1238.15,5194690,-0.28%
29-Dec-20,1250.3,1235,1254.45,1235,6878105,0.81%
28-Dec-20,1240.3,1238.45,1248,1236,4607051,0.34%
24-Dec-20,1236.05,1249.9,1249.9,1226,7313885,-1.36%
23-Dec-20,1253.05,1238,1258.85,1230.55,15878346,2.67%
22-Dec-20,1220.5,1182,1223.85,1176.1,10901851,3.67%
21-Dec-20,1177.3,1188,1209.75,1152.05,10858352,-1.05%
18-Dec-20,1189.8,1182.85,1195,1175.6,15995676,2.64%
17-Dec-20,1159.2,1165.9,1168.9,1156.2,6658153,-0.56%
16-Dec-20,1165.7,1160,1168.9,1153.6,7788404,0.96%
15-Dec-20,1154.6,1156,1163.7,1152,6905926,-0.85%
14-Dec-20,1164.55,1169.4,1172.6,1148.2,6728187,0.12%
11-Dec-20,1163.2,1159.7,1171.95,1155.25,10574009,-0.39%
10-Dec-20,1167.75,1157.4,1171.65,1150,9488782,-0.63%
9-Dec-20,1175.2,1168.05,1179.5,1157,10039346,1.89%
8-Dec-20,1153.35,1145,1167,1145,12308330,0.86%
7-Dec-20,1143.5,1147.3,1153,1136,7792141,0.78%
4-Dec-20,1134.65,1125,1137,1115,10564055,0.73%
3-Dec-20,1126.45,1147,1147,1122.7,16212632,-1.27%
2-Dec-20,1140.9,1134,1147.45,1121,6741637,0.27%
1-Dec-20,1137.85,1105.05,1140.25,1105.05,8933802,3.44%
27-Nov-20,1100,1118,1121,1091,25306145,-1.19%
26-Nov-20,1113.2,1119.95,1119.95,1098.3,10962256,-0.22%
25-Nov-20,1115.65,1137,1143.5,1111.25,8958701,-2.14%
24-Nov-20,1140.05,1145,1154.9,1133.35,8515426,0.02%
23-Nov-20,1139.85,1105,1144.8,1101.95,10546363,3.31%
20-Nov-20,1103.35,1106,1109,1091.1,8063554,0.60%
19-Nov-20,1096.75,1100,1114.7,1093.8,10092343,-1.24%
18-Nov-20,1110.55,1128.5,1132.7,1101.45,9839468,-1.17%
17-Nov-20,1123.7,1144.75,1145,1112.65,12813968,-0.86%
14-Nov-20,1133.45,1137,1139.65,1131.1,1136144,0.82%
13-Nov-20,1124.2,1120,1133,1117,6363212,0.58%
12-Nov-20,1117.75,1128.1,1142,1113.75,9180976,-0.42%
11-Nov-20,1122.5,1096,1126.35,1087,12514800,2.88%
10-Nov-20,1091.05,1113.85,1113.85,1078,15622869,-4.00%
9-Nov-20,1136.55,1129.3,1146,1121.15,10160320,2.14%
6-Nov-20,1112.75,1108,1121.1,1091.7,8807127,0.79%
5-Nov-20,1104,1109.9,1123,1099,9568890,0.92%
4-Nov-20,1093.95,1068,1116,1066.8,15702690,2.96%
3-Nov-20,1062.55,1072,1079.4,1057.5,7204782,-0.91%
2-Nov-20,1072.3,1065,1079.95,1051.1,7183119,1.10%
30-Oct-20,1060.6,1072,1083.6,1052.35,8800436,-1.33%
29-Oct-20,1074.85,1070,1082,1060.1,6935804,-0.16%
28-Oct-20,1076.55,1095.5,1104.75,1070.05,7608413,-1.31%
27-Oct-20,1090.85,1105.7,1109.7,1077.15,10172530,-1.94%
26-Oct-20,1112.45,1122.25,1129.6,1103.15,6309643,-0.90%
23-Oct-20,1122.5,1133,1135,1120.15,9070121,-0.58%
22-Oct-20,1129.05,1142,1158,1123.8,11271538,-1.68%
21-Oct-20,1148.35,1141.15,1154.35,1135,19811809,0.95%
20-Oct-20,1137.5,1118.9,1144.7,1110,10448852,1.03%
19-Oct-20,1125.9,1135,1139,1115.3,12902146,-0.14%
16-Oct-20,1127.5,1113.85,1135.95,1096.9,18366133,1.74%
15-Oct-20,1108.25,1180,1186,1092.5,44288566,-2.53%
14-Oct-20,1137,1162,1164.9,1131.1,16649731,-1.80%
13-Oct-20,1157.8,1135.55,1166.05,1135.55,17524137,2.27%
12-Oct-20,1132.1,1123,1140,1112.1,14633780,2.29%
